@relation BinaryFileDataset

@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute a_15 numeric
@attribute klasa {jpg,png,exe,pdf,dll,zip}

@data
4000,7.861062,1.00275,0.00325,0.341,0.0175,0,128.658,130.14,137.554,137.56,134.21,135.492,130.496,139.392,jpg
4000,7.892348,1.00275,0.0035,0.343,0.01175,0,128.526,128.93,132.086,129.554,136.358,137.85,139.464,138.464,jpg
4000,7.90766,1.00275,0.00275,0.36375,0.00975,0,133.964,134.878,131.382,134.346,132.88,139.06,130.432,135.554,jpg
4000,7.902749,1.00275,0.003,0.34475,0.01575,0,133.468,131.516,131.212,133.636,135.248,129.156,134.088,135.316,jpg
4000,7.876791,1.00275,0.00275,0.3395,0.01575,0,137.314,139.688,134.626,131.992,130.468,129.346,134.386,135.728,jpg
4000,7.884691,1.00275,0.00525,0.3385,0.017,0,132.274,135.562,132.528,130.252,134.616,133.398,129.71,130.528,jpg
4000,7.872625,1.00275,0.0045,0.345,0.01675,0,127.102,135.004,135.088,132.048,130.622,133.042,137.312,130.918,jpg
4000,7.869794,1.00275,0.00375,0.3385,0.01,0,134.28,138.638,141.316,142.996,146.276,138.852,142.892,137.728,jpg
4000,7.913901,1.00275,0.00325,0.38875,0.007,0,136.096,133.16,126.074,130.798,131.3,125.978,133.652,129.304,jpg
4000,7.886018,1.00275,0.00475,0.34875,0.01575,0,131.056,128.482,132.336,127.768,132.468,136.728,131.516,130.56,jpg
4000,7.913432,1.00275,0.00375,0.35625,0.012,0,135.692,133.828,126.178,138.216,131.87,133.406,133.746,132.974,jpg
4000,7.883848,1.00275,0.00375,0.33675,0.01375,0,133.966,137.694,131.284,136.194,133.214,133.544,131.99,131.88,jpg
4000,7.882656,1.00275,0.0045,0.34825,0.0155,0,136.452,139.186,136.606,134.198,133.608,129.626,132.25,136.088,jpg
4000,7.893699,1.00275,0.00425,0.3535,0.0155,0,134.954,134.094,137.026,130.762,133.094,133.94,132.102,138.558,jpg
4000,7.861724,1.00275,0.00225,0.33925,0.016,0,134.252,132.584,136.514,134.67,134.858,132.456,141.822,133.898,jpg
4000,7.888619,1.00275,0.00425,0.3445,0.01625,0,134.234,131,132.558,132.6,125.948,137.222,140.116,135.978,jpg
4000,7.907222,1.00275,0.00325,0.3505,0.0135,0,130.428,137.35,135.448,134.92,133.392,132.278,134.154,134.202,jpg
4000,7.881543,1.00275,0.0025,0.34525,0.01775,0,135.094,129.106,135.99,132.382,132.822,136.472,133.564,135.428,jpg
4000,7.869859,1.00275,0.00475,0.33525,0.01625,0,130.788,131.838,138.782,130.136,135.794,138.988,129.274,136.88,jpg
4000,7.892825,1.00275,0.00275,0.3275,0.01125,0,137.552,135.56,131.47,139.214,135.44,140.506,136.434,135.242,jpg
4000,7.901855,1.00275,0.00425,0.3575,0.0145,0,129.688,125.864,135.084,132.31,132.038,131.852,137.684,129.736,jpg
4000,7.840109,1.00275,0.00275,0.333,0.01575,0,133.078,135.656,131.63,135.488,135.626,137.13,138.624,140.368,jpg
4000,7.830442,1.00275,0.00325,0.3475,0.01925,0,136.91,134.766,135.946,128.754,132.188,135.852,131.64,131.342,jpg
4000,7.886751,1.00275,0.00325,0.34125,0.01475,0,135.108,133.074,134.218,136.316,136.668,136.552,133.49,131.714,jpg
4000,7.89613,1.00275,0.00375,0.34725,0.011,0,132.792,134.366,139.762,130.512,135.006,133.598,135.366,137.136,jpg
4000,7.904234,1.00275,0.00325,0.34675,0.0115,0,133.25,135.67,133.86,137.186,132.528,130.814,135.874,135.924,jpg
4000,7.88896,1.00275,0.0035,0.344,0.01875,0,134.156,127.878,136.996,131.658,134.408,134.968,131.372,137.69,jpg
4000,7.902818,1.00275,0.00325,0.349,0.0145,0,129.062,134.856,131.314,132.708,139.552,137.346,133.438,134.982,jpg
4000,7.886649,1.00275,0.00375,0.32575,0.01475,0,136.286,131.614,139.454,134.762,129.932,134.85,138.834,132.572,jpg
4000,7.891262,1.00275,0.00275,0.34975,0.01625,0,131.01,139.42,135.586,134.986,129.342,129.85,130.1,137.684,jpg
4000,7.930963,1.00275,0.0035,0.3775,0.00575,0,124.612,123.656,134.274,126.27,127.584,133.832,130.498,126.498,jpg
4000,7.899249,1.00275,0.00475,0.35125,0.014,0,130.386,140.1,133.52,130.944,140.554,136.71,131.874,130.55,jpg
4000,7.909653,1.00275,0.0035,0.35325,0.01025,0,132.196,133.098,134.292,134.66,130.684,133.402,135.176,134.528,jpg
4000,7.904474,1.00275,0.004,0.356,0.01325,0,129.534,132.11,133.136,132.538,130.62,134.304,134.516,135.462,jpg
4000,7.901999,1.00275,0.004,0.34975,0.01125,0,135.466,133.486,135.89,136.12,134.776,131.434,134.186,133.09,jpg
4000,7.906726,1.00275,0.003,0.35575,0.01275,0,133.994,131.086,130.638,131.69,133.798,128.544,134.698,133.55,jpg
4000,7.895709,1.00275,0.00425,0.3375,0.0135,0,129.3,135.42,137.126,130.036,130.27,135.316,131.638,137.968,jpg
4000,7.85512,1.00275,0.005,0.33675,0.02125,0,131.956,130.9,129.876,136.346,132.398,130.504,138.04,133.208,jpg
4000,7.863559,1.00275,0.004,0.3395,0.01625,0,129.566,136.206,137.29,138.15,139.344,133.434,141.184,134.73,jpg
4000,7.883544,1.00275,0.00325,0.34225,0.012,0,136.076,129.75,136.568,136.768,137.608,140.578,139.526,133.752,jpg
4000,7.840275,1.00275,0.0035,0.35125,0.01475,0,136.452,133.422,130.96,139.854,136.21,130.574,136.638,139.32,jpg
4000,7.893554,1.00275,0.00325,0.34925,0.01725,0,129.15,134.07,133.27,125.752,133.612,135.748,133.36,130.658,jpg
4000,7.869704,1.00275,0.00375,0.3475,0.015,0,142.16,138.288,131.38,130.122,133.79,131.222,130.696,133.248,jpg
4000,7.881261,1.00275,0.00425,0.34075,0.01625,0,137.312,133.95,130.048,135.884,130.144,133.512,132.864,135.144,jpg
4000,7.900377,1.00275,0.0045,0.34275,0.01225,0,133.612,133.338,128.738,140.706,137.332,132.408,137.172,133.06,jpg
4000,7.867535,1.00275,0.00125,0.34025,0.00875,0,141.888,136.412,136.486,139.92,143.9,138.642,140.528,138.008,jpg
4000,7.868664,1.00275,0.004,0.336,0.0135,0,135.73,136.218,135.6,134.34,133.384,134.71,137.526,136.578,jpg
4000,7.806792,1.0005,0.0035,0.3305,0.02,0,136.502,140.294,142.386,133.77,132.276,132.668,133.182,141.558,jpg
4000,7.884334,1.00275,0.00275,0.353,0.01325,0,134.284,132.874,138.946,134.058,134.336,134.614,134.518,141.926,jpg
4000,7.920135,1.00275,0.0025,0.3675,0.0065,0,128.854,130.076,131.37,137.23,130.952,136.808,129.384,129.942,jpg
4000,7.882948,1.00275,0.00325,0.33125,0.0155,0,135.246,133.534,137.796,137.234,136.57,133.234,130.598,133.744,jpg
4000,7.851309,1.00275,0.003,0.34375,0.014,0,135.312,136.096,132.278,134.702,137.716,134.838,141.616,131.866,jpg
4000,7.892621,1.00275,0.0035,0.3405,0.0135,0,133.512,137.704,136.308,133.146,133.882,136.172,135.894,135.344,jpg
4000,7.889725,1.00275,0.00275,0.3425,0.013,0,129.198,138.424,133.046,134.718,133.804,131.062,138.284,132.326,jpg
