@relation BinaryFileDataset

@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute a_15 numeric
@attribute klasa {jpg,png,exe,pdf,dll,zip}

@data
984,6.404436,0.849593,0.007114,1,0,0,77.365854,76.756098,76.219512,78.341463,78.276423,84.666667,81.170732,75.495935,jpg
968,6.419993,0.852273,0.011364,1,0,0,80.22314,75.636364,79.07438,73.909091,79.247934,78.256198,78.057851,76.958678,jpg
976,6.40169,0.849385,0.004098,1,0,0,79.008197,82.557377,77.393443,74.688525,77.893443,76.934426,78.278689,77.786885,jpg
971,6.405127,0.850669,0.013388,1,0,0,77.586777,72.876033,80.92562,74.066116,81.082645,77.561983,77.247934,76.578512,jpg
941,6.393337,0.850159,0.012752,1,0,0,78.521368,80.735043,78.350427,80.102564,79.957265,78.623932,76.17094,80.982906,jpg
980,6.395597,0.846939,0.018367,1,0,0,76.098361,73.065574,78.852459,77.114754,81.254098,78.237705,75.163934,77.081967,jpg
976,6.411012,0.85041,0.012295,1,0,0,76.319672,81.901639,77.377049,77.254098,78.696721,79.401639,78.327869,80.081967,jpg
990,6.412722,0.849495,0.006061,1,0,0,79.878049,78.707317,81.95935,79.715447,79.357724,77.03252,75.666667,79.170732,jpg
978,6.408649,0.851738,0.015337,1,0,0,77.295082,77.032787,79.188525,77.54918,77.680328,76.934426,77.02459,78.467213,jpg
972,6.421033,0.849794,0.011317,1,0,0,77.157025,76.661157,75.975207,80.38843,78.669421,75.570248,79.297521,77.958678,jpg
968,6.415334,0.85124,0.015496,1,0,0,74.421488,75.38843,76.512397,77.082645,76.578512,81.975207,80.214876,78.669421,jpg
972,6.416635,0.849794,0.011317,1,0,0,75.330579,77.512397,80.099174,76.975207,80.809917,76.884298,80.77686,79.247934,jpg
969,6.411543,0.849329,0.00516,1,0,0,75.834711,78.710744,74.876033,84.07438,79.876033,80.247934,78.958678,75.884298,jpg
971,6.411502,0.84964,0.011329,1,0,0,78.22314,73.876033,81.619835,77.479339,77.842975,79.140496,78.487603,76.933884,jpg
973,6.389773,0.846865,0.008222,1,0,0,81,77.661157,79.033058,74.429752,76.595041,78.214876,76.661157,76.024793,jpg
969,6.410823,0.848297,0.013416,1,0,0,78.454545,74.92562,81.520661,78.090909,74.760331,79.710744,81.68595,80.760331,jpg
976,6.402388,0.849385,0.01332,1,0,0,76.278689,74.409836,78.057377,76.090164,75.040984,77.327869,78.147541,77.278689,jpg
973,6.388608,0.847893,0.008222,1,0,0,76.85124,79.644628,78.305785,79.528926,77.603306,74.619835,78.082645,78.024793,jpg
976,6.389946,0.848361,0.01127,1,0,0,78.622951,77.295082,77.155738,79.811475,81.139344,80.221311,81.106557,73.959016,jpg
969,6.414809,0.849329,0.01548,1,0,0,77.057851,78.115702,76.694215,78.157025,76.380165,77.636364,77.975207,77.752066,jpg
