@relation EnigmaComparison

@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute a_15 numeric
@attribute klasa {k1,k2}

@data
984,6.414112,0.849593,0.011179,76.966292,78.382022,78.58427,80.078652,79.640449,80.258427,72.483146,76.719101,80.988764,78.168539,79.393258,k1
984,6.422537,0.849593,0.006098,76.11236,77.11236,75.842697,76.808989,77.865169,77.033708,81.617978,78.269663,79.134831,77.494382,79.898876,k2
968,6.406876,0.850207,0.011364,79.681818,80.454545,75.886364,76.965909,81.125,78.738636,81.761364,80.215909,78.215909,85.545455,77.090909,k1
968,6.392729,0.847107,0.008264,81.875,76.147727,81.375,77.147727,75.136364,78.727273,76.579545,79.363636,78.693182,77.738636,74.227273,k2
976,6.406161,0.85041,0.012295,80.977273,78.204545,80.965909,78.977273,75.465909,82.659091,79.011364,75.693182,80.090909,76.284091,76.568182,k1
976,6.413811,0.848361,0.009221,73.625,83.636364,80.761364,78.715909,75.727273,77,75.181818,78.272727,76.659091,77.522727,81.329545,k2
971,6.411024,0.854789,0.004119,78.125,80.534091,76.113636,79.943182,79.477273,79.784091,78.318182,78.431818,78.806818,81.625,81.238636,k1
971,6.416376,0.84964,0.008239,79.647727,78.045455,80.693182,76.284091,80.306818,78.352273,75.818182,82.295455,83.511364,73.181818,76.465909,k2
941,6.401681,0.852285,0.012752,81.647059,78.658824,80.152941,78.964706,82.882353,81.082353,84.541176,78.411765,77.847059,77.105882,79.352941,k1
941,6.408308,0.852285,0.018066,80.011765,75.423529,78.611765,83,81.223529,78.070588,77.505882,74.788235,80.517647,80.270588,77.2,k2
980,6.409034,0.85102,0.009184,75.52809,75.123596,84.955056,80.382022,77.179775,75.775281,79.539326,81.865169,79.573034,79.966292,75.370787,k1
980,6.392631,0.847959,0.007143,76.191011,78.123596,74.898876,78.550562,75.146067,80.303371,82.05618,77.258427,85.067416,80.033708,79.179775,k2
976,6.406216,0.848361,0.010246,76.659091,81.977273,75.931818,77.25,78,78.465909,81.318182,75.329545,79.125,80.738636,77.352273,k1
976,6.41199,0.848361,0.008197,79.147727,74.738636,79.977273,82.772727,81.909091,80.295455,76.829545,77.25,77.102273,80.363636,78.704545,k2
990,6.388687,0.847475,0.007071,80.444444,81.333333,79.6,81.655556,82.955556,85.1,82.044444,79.988889,79.711111,74.955556,78.166667,k1
990,6.412064,0.848485,0.012121,76.8,77.555556,80.566667,76.466667,75.644444,79.633333,77.244444,75.877778,84.344444,77.477778,74.266667,k2
978,6.395336,0.847648,0.01227,79.5,81.306818,72.931818,78.488636,76.5,79.045455,81.636364,78.272727,81.738636,81.375,75.477273,k1
978,6.415739,0.847648,0.007157,77.090909,77.443182,76.875,79.034091,80.397727,76.715909,77.261364,78.181818,78.090909,80.409091,79.738636,k2
972,6.403118,0.849794,0.012346,75.375,78.534091,76.170455,77.943182,74.568182,78.193182,72.886364,79.011364,80.227273,75.5,78.943182,k1
972,6.412925,0.851852,0.00823,78.75,77.193182,76.943182,76.306818,78.113636,75.215909,79.352273,82.693182,75.943182,76.795455,76.034091,k2
968,6.392821,0.849174,0.010331,75.522727,77.102273,76.613636,81.204545,78.431818,77.125,78.056818,82.954545,78.284091,79.068182,75.409091,k1
968,6.407954,0.84814,0.010331,81.545455,76,81.102273,76.875,80.386364,74.238636,71.488636,84.965909,74.704545,79.625,81.715909,k2
972,6.41753,0.848765,0.013374,79.204545,73.977273,75.75,80.409091,76.704545,78.375,81.613636,78.522727,78.227273,74.420455,79.693182,k1
972,6.420806,0.849794,0.014403,75.988636,74.090909,73.545455,74.863636,79.738636,79.625,81.681818,80.284091,74.840909,77.113636,73.272727,k2
969,6.407066,0.851393,0.01548,75.295455,82.704545,81.238636,81.806818,75.306818,81.465909,81.943182,74.625,79.738636,76.227273,75.670455,k1
969,6.386741,0.846233,0.008256,81.318182,81.988636,77.875,77.897727,76.681818,80.943182,76.397727,78.534091,79.443182,77.818182,77.590909,k2
971,6.403033,0.84758,0.015448,79.159091,76.784091,78.556818,78.477273,72.488636,81.090909,73.965909,79.170455,79.568182,82.295455,78.704545,k1
