@relation EnigmaDataset

@attribute ngram_1 numeric
@attribute ngram_2 numeric
@attribute ngram_3 numeric
@attribute ngram_4 numeric
@attribute ngram_5 numeric
@attribute ngram_6 numeric
@attribute ngram_7 numeric
@attribute ngram_8 numeric
@attribute ngram_9 numeric
@attribute ngram_10 numeric
@attribute prosecna_udaljenost numeric
@attribute stepen_kompresije numeric
@attribute kolmogorovska_slozenost numeric
@attribute senonova_entropija numeric
@attribute entropija_divergencije numeric
@attribute klasa {k1,k2}

@data
0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,40.380952,0.84525,1.487619,6.403449,0.800431,k1
0.003484,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,52.777778,0.850147,1.487619,6.412665,0.801583,k2
0.002227,0.002227,0.002227,0.002227,0.002227,0.002227,0.002227,0.002227,0.002227,0.002227,45.142857,0.861423,1.270899,6.414434,0.801804,k1
0.002179,0.002179,0.002179,0.002179,0.002179,0.002179,0.002179,0.002179,0.002179,0.002179,44.714286,0.860175,1.270899,6.419106,0.802388,k2
0.002257,0.002257,0.002257,0.002257,0.002257,0.002257,0.002257,0.002257,0.002257,0.002257,41.714286,0.857713,1.410256,6.396975,0.799622,k1
0.004577,0.004577,0.004577,0.002288,0.002288,0.002288,0.002288,0.002288,0.002288,0.002288,41.357143,0.863032,1.410256,6.402761,0.800345,k2
0.001821,0.001821,0.001821,0.001821,0.001821,0.001821,0.001821,0.001821,0.001821,0.001821,50.111111,0.854255,1.283333,6.414392,0.801799,k1
0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,47.631579,0.852128,1.283333,6.406325,0.800791,k2
0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,41.863636,0.848638,1.494118,6.407856,0.800982,k1
0.003284,0.003284,0.001642,0.001642,0.001642,0.001642,0.001642,0.001642,0.001642,0.001642,51.777778,0.848638,1.494118,6.424421,0.803053,k2
0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,39.363636,0.847656,1.31619,6.410487,0.801311,k1
0.003195,0.001597,0.001597,0.001597,0.001597,0.001597,0.001597,0.001597,0.001597,0.001597,51.894737,0.84668,1.31619,6.41975,0.802469,k2
0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,48.684211,0.847059,1.266667,6.414795,0.801849,k1
0.003472,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,48.55,0.847059,1.266667,6.413389,0.801674,k2
0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,47.555556,0.847209,1.487619,6.424211,0.803026,k1
0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,43.454545,0.849167,1.487619,6.403246,0.800406,k2
0.003284,0.001642,0.001642,0.001642,0.001642,0.001642,0.001642,0.001642,0.001642,0.001642,57.647059,0.848633,1.31619,6.431795,0.803974,k1
0.003367,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,46.368421,0.848633,1.31619,6.408282,0.801035,k2
0.001647,0.001647,0.001647,0.001647,0.001647,0.001647,0.001647,0.001647,0.001647,0.001647,44.388889,0.847059,1.266667,6.421946,0.802743,k1
0.001695,0.001695,0.001695,0.001695,0.001695,0.001695,0.001695,0.001695,0.001695,0.001695,48.894737,0.85098,1.266667,6.429367,0.803671,k2
0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,56.941176,0.852621,1.270028,6.430098,0.803762,k1
0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,44.526316,0.846686,1.270028,6.415327,0.801916,k2
0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,46.894737,0.85098,1.266667,6.409372,0.801171,k1
0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,51.944444,0.84902,1.266667,6.440504,0.805063,k2
0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,21.857143,0.953737,1.312727,6.252043,0.781505,k1
0.005714,0.005714,0.005714,0.005714,0.005714,0.005714,0.005714,0.005714,0.005714,0.005714,30.25,0.950178,1.312727,6.191212,0.773901,k2
0.001669,0.001669,0.001669,0.001669,0.001669,0.001669,0.001669,0.001669,0.001669,0.001669,51.388889,0.846305,1.268235,6.4124,0.80155,k1
0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,42.347826,0.848276,1.268235,6.407927,0.800991,k2
0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,46.9,0.851272,1.373333,6.416686,0.802086,k1
0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,46.857143,0.845401,1.373333,6.390835,0.798854,k2
0.004367,0.004367,0.004367,0.004367,0.004367,0.004367,0.004367,0.004367,0.004367,0.004367,36.3,0.904077,1.268783,6.32642,0.790802,k1
0.003937,0.003937,0.003937,0.003937,0.003937,0.003937,0.003937,0.003937,0.003937,0.003937,37.6,0.901679,1.268783,6.281085,0.785136,k2
0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,48.842105,0.847591,1.267538,6.41336,0.80167,k1
0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,46.85,0.849558,1.267538,6.41746,0.802182,k2
0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,45.473684,0.84638,1.373333,6.410879,0.80136,k1
0.003396,0.003396,0.001698,0.001698,0.001698,0.001698,0.001698,0.001698,0.001698,0.001698,46.666667,0.848337,1.373333,6.415371,0.801921,k2
0.00335,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,52.722222,0.85,1.282353,6.415915,0.801989,k1
0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,46,0.851,1.282353,6.41761,0.802201,k2
0.008197,0.008197,0.008197,0.008197,0.008197,0.008197,0.008197,0.008197,0.008197,0.008197,34.666667,0.978903,1.27037,6.234146,0.779268,k1
0.007576,0.007576,0.007576,0.007576,0.007576,0.007576,0.007576,0.007576,0.007576,0.007576,30.5,0.970464,1.27037,6.139575,0.767447,k2
0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,0.001575,51.058824,0.851338,1.271207,6.420394,0.802549,k1
0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,45.409091,0.847374,1.271207,6.403523,0.80044,k2
0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,50.35,0.848723,1.267227,6.412478,0.80156,k1
0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,46.45,0.846758,1.267227,6.400313,0.800039,k2
0.001835,0.001835,0.001835,0.001835,0.001835,0.001835,0.001835,0.001835,0.001835,0.001835,51.444444,0.849693,1.272054,6.404052,0.800506,k1
0.00349,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,41.363636,0.850716,1.272054,6.419947,0.802493,k2
0.001645,0.001645,0.001645,0.001645,0.001645,0.001645,0.001645,0.001645,0.001645,0.001645,48.95,0.849167,1.487619,6.429673,0.803709,k1
0.001669,0.001669,0.001669,0.001669,0.001669,0.001669,0.001669,0.001669,0.001669,0.001669,46.15,0.850147,1.487619,6.414312,0.801789,k2
0.004505,0.004505,0.004505,0.004505,0.004505,0.004505,0.004505,0.004505,0.004505,0.004505,29.666667,0.907767,1.273593,6.316732,0.789591,k1
0.004065,0.004065,0.004065,0.004065,0.004065,0.004065,0.004065,0.004065,0.004065,0.004065,28.2,0.912621,1.273593,6.293584,0.786698,k2
0.002237,0.002237,0.002237,0.002237,0.002237,0.002237,0.002237,0.002237,0.002237,0.002237,45.285714,0.859375,1.273504,6.401504,0.800188,k1
0.002208,0.002208,0.002208,0.002208,0.002208,0.002208,0.002208,0.002208,0.002208,0.002208,39,0.858073,1.273504,6.40453,0.800566,k2
0.004728,0.002364,0.002364,0.002364,0.002364,0.002364,0.002364,0.002364,0.002364,0.002364,39,0.860186,1.564103,6.399146,0.799893,k1
0.002278,0.002278,0.002278,0.002278,0.002278,0.002278,0.002278,0.002278,0.002278,0.002278,43.235294,0.861518,1.564103,6.391804,0.798975,k2
0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,46.631579,0.85371,1.267593,6.412613,0.801577,k1
0.003781,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,48.526316,0.850575,1.267593,6.41922,0.802402,k2
0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,42.454545,0.848188,1.487619,6.423245,0.802906,k1
0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,48.05,0.848188,1.487619,6.412617,0.801577,k2
0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,46.666667,0.848039,1.266667,6.39749,0.799686,k1
0.001626,0.001626,0.001626,0.001626,0.001626,0.001626,0.001626,0.001626,0.001626,0.001626,42.217391,0.846078,1.266667,6.409955,0.801244,k2
0.001621,0.001621,0.001621,0.001621,0.001621,0.001621,0.001621,0.001621,0.001621,0.001621,44,0.846078,1.266667,6.406533,0.800817,k1
0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,47.05,0.84902,1.266667,6.408094,0.801012,k2
0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,42.428571,0.84789,1.266937,6.413042,0.80163,k1
0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,42.956522,0.845927,1.266937,6.403983,0.800498,k2
0.001695,0.001695,0.001695,0.001695,0.001695,0.001695,0.001695,0.001695,0.001695,0.001695,40.736842,0.845098,1.266667,6.40347,0.800434,k1
0.003273,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,54.388889,0.85,1.266667,6.416477,0.80206,k2
0.002331,0.002331,0.002331,0.002331,0.002331,0.002331,0.002331,0.002331,0.002331,0.002331,50.769231,0.864384,1.288,6.373583,0.796698,k1
0.002262,0.002262,0.002262,0.002262,0.002262,0.002262,0.002262,0.002262,0.002262,0.002262,43.8,0.858904,1.288,6.379712,0.797464,k2
0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,48.722222,0.851085,1.268627,6.423362,0.80292,k1
0.001645,0.001645,0.001645,0.001645,0.001645,0.001645,0.001645,0.001645,0.001645,0.001645,53.333333,0.848126,1.268627,6.415452,0.801932,k2
0.003361,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,47.2,0.848633,1.31619,6.421863,0.802733,k1
0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,47.789474,0.850586,1.31619,6.424059,0.803007,k2
0.003448,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,46.05,0.848276,1.268235,6.404821,0.800603,k1
0.003431,0.001715,0.001715,0.001715,0.001715,0.001715,0.001715,0.001715,0.001715,0.001715,38.454545,0.848276,1.268235,6.406804,0.800851,k2
0.003425,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,0.001712,52.111111,0.849609,1.31619,6.427772,0.803471,k1
0.003356,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,52.894737,0.84668,1.31619,6.408134,0.801017,k2
0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,56.588235,0.853057,1.268627,6.427092,0.803387,k1
0.001618,0.001618,0.001618,0.001618,0.001618,0.001618,0.001618,0.001618,0.001618,0.001618,47.894737,0.846154,1.268627,6.406274,0.800784,k2
0.001613,0.001613,0.001613,0.001613,0.001613,0.001613,0.001613,0.001613,0.001613,0.001613,47.65,0.849558,1.267538,6.429188,0.803648,k1
0.003263,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,41.590909,0.846608,1.267538,6.408303,0.801038,k2
0.003361,0.003361,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,53.111111,0.848516,1.272846,6.394643,0.79933,k1
0.003521,0.003521,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,49.947368,0.847492,1.272846,6.396571,0.799571,k2
0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,49.95,0.849609,1.31619,6.417088,0.802136,k1
0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,48.894737,0.849609,1.31619,6.407815,0.800977,k2
0.001639,0.001639,0.001639,0.001639,0.001639,0.001639,0.001639,0.001639,0.001639,0.001639,47.35,0.850394,1.267873,6.418158,0.80227,k1
0.003279,0.001639,0.001639,0.001639,0.001639,0.001639,0.001639,0.001639,0.001639,0.001639,48.25,0.849409,1.267873,6.41169,0.801461,k2
0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,49.105263,0.847804,1.271345,6.398235,0.799779,k1
0.003636,0.001818,0.001818,0.001818,0.001818,0.001818,0.001818,0.001818,0.001818,0.001818,45,0.849847,1.271345,6.398411,0.799801,k2
0.001715,0.001715,0.001715,0.001715,0.001715,0.001715,0.001715,0.001715,0.001715,0.001715,48.35,0.850246,1.268235,6.423466,0.802933,k1
0.003367,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,52.315789,0.850246,1.268235,6.428652,0.803581,k2
0.002137,0.002137,0.002137,0.002137,0.002137,0.002137,0.002137,0.002137,0.002137,0.002137,55.428571,0.860837,1.4,6.417178,0.802147,k1
0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,46.235294,0.858374,1.4,6.396746,0.799593,k2
0.003436,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,44.473684,0.845924,1.273529,6.405999,0.80075,k1
0.003466,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,36.6,0.847913,1.273529,6.407354,0.800919,k2
0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,46.428571,0.846077,1.272664,6.406301,0.800788,k1
0.003333,0.001667,0.001667,0.001667,0.001667,0.001667,0.001667,0.001667,0.001667,0.001667,52.5,0.847071,1.272664,6.407791,0.800974,k2
0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,42.75,0.846002,1.269054,6.40004,0.800005,k1
0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,43.454545,0.846989,1.269054,6.404847,0.800606,k2
0.003361,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,50.157895,0.847976,1.269054,6.422931,0.802866,k1
