@relation EnigmaDataset

@attribute ngram_1 numeric
@attribute ngram_2 numeric
@attribute ngram_3 numeric
@attribute ngram_4 numeric
@attribute ngram_5 numeric
@attribute ngram_6 numeric
@attribute ngram_7 numeric
@attribute ngram_8 numeric
@attribute ngram_9 numeric
@attribute ngram_10 numeric
@attribute prosecna_udaljenost numeric
@attribute stepen_kompresije numeric
@attribute kolmogorovska_slozenost numeric
@attribute senonova_entropija numeric
@attribute entropija_divergencije numeric
@attribute klasa {k1,k2}

@data
0.001686,0.001686,0.001686,0.001686,0.001686,0.001686,0.001686,0.001686,0.001686,0.001686,35.2,0.850153,1.27013,6.399153,0.799894,k1
0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,52.8125,0.853909,1.278788,6.435478,0.804435,k1
0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,0.001845,44.15,0.848233,1.379798,6.40912,0.80114,k1
0.003546,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,42.727273,0.850622,1.319192,6.408309,0.801039,k1
0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,52.166667,0.851107,1.317647,6.42006,0.802508,k1
0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,51.1875,0.852818,1.267262,6.420005,0.802501,k1
0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,37.222222,0.851506,1.339394,6.405861,0.800733,k1
0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,46.941176,0.849385,1.273737,6.404429,0.800554,k1
0.002083,0.002083,0.002083,0.002083,0.002083,0.002083,0.002083,0.002083,0.002083,0.002083,43.388889,0.858852,1.268132,6.408054,0.801007,k1
0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,48.111111,0.849847,1.271345,6.395102,0.799388,k1
0.003604,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,48.117647,0.849385,1.273737,6.422725,0.802841,k1
0.003413,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,47.0625,0.849495,1.266667,6.430237,0.80378,k1
0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,48.166667,0.848548,1.319192,6.404116,0.800515,k1
0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,36.192308,0.851775,1.267262,6.389776,0.798722,k1
0.003356,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,48.666667,0.850458,1.269126,6.411382,0.801423,k1
0.001866,0.001866,0.001866,0.001866,0.001866,0.001866,0.001866,0.001866,0.001866,0.001866,55.375,0.851775,1.267262,6.41485,0.801856,k1
0.001767,0.001767,0.001767,0.001767,0.001767,0.001767,0.001767,0.001767,0.001767,0.001767,51,0.852342,1.269605,6.414755,0.801844,k1
0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,44.7,0.85124,1.288889,6.398921,0.799865,k1
0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,0.001706,42.833333,0.85102,1.270707,6.423705,0.802963,k1
0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,48.25,0.848577,1.268687,6.392076,0.799009,k1
0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,42.333333,0.849693,1.272054,6.411466,0.801433,k1
0.003515,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,55.882353,0.849495,1.266667,6.414308,0.801789,k1
0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,44,0.848049,1.275902,6.40293,0.800366,k1
0.003656,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,44.052632,0.850932,1.29899,6.4056,0.8007,k1
0.003497,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,44.894737,0.849896,1.29899,6.403327,0.800416,k1
0.001818,0.001818,0.001818,0.001818,0.001818,0.001818,0.001818,0.001818,0.001818,0.001818,38.833333,0.851042,1.266667,6.409297,0.801162,k1
0.003663,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,49.111111,0.849329,1.285522,6.404555,0.800569,k1
0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,55.529412,0.849174,1.288889,6.41162,0.801452,k1
0.001799,0.001799,0.001799,0.001799,0.001799,0.001799,0.001799,0.001799,0.001799,0.001799,52.333333,0.850777,1.307071,6.419212,0.802402,k1
0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,46.8,0.850526,1.270833,6.395223,0.799403,k1
0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,47.947368,0.850101,1.317647,6.421861,0.802733,k1
0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,58.6875,0.853659,1.268687,6.428399,0.80355,k1
0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,44.380952,0.851775,1.267262,6.415244,0.801906,k1
0.00274,0.00274,0.00274,0.00274,0.00274,0.00274,0.00274,0.00274,0.00274,0.00274,43.090909,0.873737,1.27,6.387593,0.798449,k1
0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,0.001704,50.105263,0.850976,1.277234,6.397059,0.799632,k1
0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,49.222222,0.848671,1.272054,6.417279,0.80216,k1
0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,51.4375,0.850202,1.267244,6.42382,0.802978,k1
0.003472,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,53.125,0.852459,1.273737,6.421042,0.80263,k1
0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,0.001718,44.736842,0.849699,1.288235,6.410713,0.801339,k1
0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,0.001727,45.4,0.84919,1.267244,6.417059,0.802132,k1
0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,42.555556,0.851626,1.268687,6.411693,0.801462,k1
0.003478,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,46.842105,0.848577,1.268687,6.418194,0.802274,k1
0.002725,0.002725,0.002725,0.002725,0.002725,0.002725,0.002725,0.002725,0.002725,0.002725,34.5625,0.865415,1.294949,6.354777,0.794347,k1
0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,49.823529,0.852356,1.268333,6.419822,0.802478,k1
0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,33.695652,0.85084,1.269697,6.403336,0.800417,k1
