@relation Kriptoanaliza4
@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute klasifikacija {ENG, GRC, DUT, SPA}
@data
0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.9167, 18.0000, 1.4000, 3.9584, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 8.3636, 20.0000, 1.3833, 4.0826, ENG
0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.5000, 19.0000, 1.3833, 3.9922, ENG
0.0412371134, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 5.4375, 19.0000, 1.3583, 3.7719, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.5385, 18.0000, 1.4000, 4.0071, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 10.7778, 19.0000, 1.4000, 4.1530, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.0000, 19.0000, 1.4000, 3.9971, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 6.1429, 19.0000, 1.3917, 3.8893, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 9.3000, 17.0000, 1.4000, 4.0016, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.5385, 20.0000, 1.4000, 3.9340, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.6667, 18.0000, 1.3833, 4.0358, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.5455, 19.0000, 1.3833, 3.9634, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.8333, 19.0000, 1.4000, 3.9472, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.4000, 20.0000, 1.4000, 3.7521, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.1667, 20.0000, 1.4000, 4.0394, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.2500, 21.0000, 1.4000, 3.8356, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.5000, 19.0000, 1.3583, 3.8450, ENG
0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.9091, 21.0000, 1.3750, 3.8642, ENG
0.0309278351, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.2308, 18.0000, 1.3667, 4.0643, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 6.1875, 20.0000, 1.3667, 3.8518, ENG
0.0309278351, 0.0309278351, 0.0309278351, 0.0309278351, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.9231, 20.0000, 1.3500, 3.9900, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 5.2222, 20.0000, 1.3750, 3.8372, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.2727, 19.0000, 1.3500, 3.8979, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 5.2353, 19.0000, 1.4000, 3.9726, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 8.0000, 20.0000, 1.3833, 3.9964, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.4545, 19.0000, 1.3917, 4.0100, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.5714, 20.0000, 1.3833, 3.9159, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.7500, 19.0000, 1.3750, 3.8646, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.0909, 17.0000, 1.3750, 3.9643, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 9.5000, 18.0000, 1.4000, 3.9990, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.2308, 17.0000, 1.4000, 3.9645, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 7.9167, 20.0000, 1.4000, 4.0854, ENG
0.0309278351, 0.0309278351, 0.0309278351, 0.0309278351, 0.0309278351, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 5.1667, 24.0000, 1.4000, 3.8766, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 9.2000, 17.0000, 1.4000, 4.0670, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.9167, 18.0000, 1.3500, 3.8960, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 4.8947, 18.0000, 1.4000, 4.0276, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 5.3750, 22.0000, 1.3833, 3.8050, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 7.3636, 20.0000, 1.4000, 3.8257, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.2727, 19.0000, 1.3833, 4.0288, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 9.6000, 17.0000, 1.3833, 4.1516, ENG
0.0206185567, 0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 6.8571, 20.0000, 1.3417, 3.8693, ENG
0.0206185567, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.7273, 17.0000, 1.4000, 3.9661, ENG
0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 0.0103092784, 8.0000, 17.0000, 1.4000, 3.9815, ENG
0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 0.0206185567, 5.3750, 26.0000, 1.3667, 3.5981, ENG
