@relation Kriptoanaliza4
@attribute a_1 numeric
@attribute a_2 numeric
@attribute klasifikacija {ENG, GRC, DUT, SPA}
@data
0.0103092784, 0.0103092784, ENG
0.0103092784, 0.0103092784, ENG
0.0103092784, 0.0103092784, ENG
0.0103092784, 0.0103092784, ENG
0.0103092784, 0.0103092784, ENG
0.0103092784, 0.0103092784, ENG
0.0103092784, 0.0103092784, ENG
0.0103092784, 0.0103092784, ENG
0.0103092784, 0.0103092784, ENG
0.0103092784, 0.0103092784, ENG
0.0103092784, 0.0103092784, GRC
0.0103092784, 0.0103092784, GRC
0.0103092784, 0.0103092784, GRC
0.0103092784, 0.0103092784, GRC
0.0103092784, 0.0103092784, GRC
0.0206185567, 0.0206185567, GRC
0.0103092784, 0.0103092784, GRC
0.0206185567, 0.0206185567, GRC
0.0103092784, 0.0103092784, GRC
0.0103092784, 0.0103092784, GRC
0.0103092784, 0.0103092784, SPA
0.0103092784, 0.0103092784, SPA
0.0103092784, 0.0103092784, SPA
0.0103092784, 0.0103092784, SPA
0.0103092784, 0.0103092784, SPA
0.0103092784, 0.0103092784, SPA
0.0103092784, 0.0103092784, SPA
0.0103092784, 0.0103092784, SPA
0.0103092784, 0.0103092784, SPA
0.0103092784, 0.0103092784, SPA
0.0103092784, 0.0103092784, DUT
0.0103092784, 0.0103092784, DUT
0.0103092784, 0.0103092784, DUT
0.0103092784, 0.0103092784, DUT
0.0103092784, 0.0103092784, DUT
0.0103092784, 0.0103092784, DUT
0.0103092784, 0.0103092784, DUT
0.0103092784, 0.0103092784, DUT
0.0103092784, 0.0103092784, DUT
0.0103092784, 0.0103092784, DUT

