@relation Kriptoanaliza4
@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute klasifikacija {enigma, m209, purple, sigaba, typex}
@data
0.0004140215, 0.0004140215, 0.0004140215, 0.0002760144, 0.0002760144, 0.0002760144, 0.0002760144, 0.0002760144, 0.0002760144, 0.0002760144, 13.884836852207293, 37.46484966471988, 0.2862234461054289, purple
0.0006359300, 0.0006359300, 0.0006359300, 0.0006359300, 0.0006359300, 0.0006359300, 0.0006359300, 0.0006359300, 0.0006359300, 0.0006359300, 13.95111111111111, 36.8408203125, 0.2734305150631681, purple

0.0004425758, 0.0004425758, 0.0004425758, 0.0004425758, 0.0004425758, 0.0004425758, 0.0004425758, 0.0004425758, 0.0004425758, 0.0004425758, 22.44776119402985, 36.19499568593615, 0.2821139705882353, sigaba
0.0004552697, 0.0004552697, 0.0004552697, 0.0004552697, 0.0004552697, 0.0004552697, 0.0004552697, 0.0004552697, 0.0004552697, 0.0004552697, 23.253968253968253, 35.54492060039156, 0.25952963917525773, sigaba

0.0006040471, 0.0006040471, 0.0006040471, 0.0006040471, 0.0006040471, 0.0006040471, 0.0006040471, 0.0006040471, 0.0006040471, 0.0006040471, 21.77181208053691, 36.28895868567287, 0.2844261805140466, m209
0.0005646527, 0.0005646527, 0.0005646527, 0.0005646527, 0.0005646527, 0.0005646527, 0.0005646527, 0.0005646527, 0.0005646527, 0.0005646527, 20.387283236994218, 35.50243470562195, 0.25666666666666665, m209

0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 20.60625, 36.82377524959368, 0.2712980269989616, typex
0.0004308488, 0.0004308488, 0.0004308488, 0.0004308488, 0.0004308488, 0.0004308488, 0.0004308488, 0.0004308488, 0.0004308488, 0.0004308488, 22.26086956521739, 36.870255348516224, 0.2800208333333333, typex

0.0005390836, 0.0005390836, 0.0005390836, 0.0005390836, 0.0005390836, 0.0005390836, 0.0005390836, 0.0005390836, 0.0005390836, 0.0005390836, 23.00632911392405, 37.57069754915163, 0.30557749035625137, enigma
0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 0.0006045949, 21.129032258064516, 37.72274237390516, 0.2886111111111111, enigma

